,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,14.335941,8.0776615,2.5298374,3.495335,3.1685338,-9.41713,-2.6317244,-2.6650677,3.6737168,-6.431976,-8.454417,-11.058115,5.8197246,-7.2094817,-9.882131,2.066428,-15.218699,-5.0916176,-6.253496,-6.3709216,-9.448974,-4.1341834,-8.186752,-14.874023,-22.731764,-9.145558,2.9095902,-2.2699463,-5.458711,-7.5421166
1,-1.4305983,7.6723356,6.3505807,4.4701495,6.6155334,-19.15735,-0.78463364,4.1282797,10.443943,2.61874,-7.0759487,-3.971322,-5.592703,-6.549425,-14.073801,15.402192,4.1758676,0.8726132,-12.44175,-2.74656,-4.7452254,-8.056894,-2.153202,-3.130859,-10.912023,2.4865005,-2.0303044,-10.530863,17.943922,-2.8212595
2,16.157078,5.9169517,23.213867,12.793221,0.35577127,-26.906805,-4.428309,-14.618378,-1.0471056,-11.560407,-20.255857,-8.771782,1.4792106,-7.768515,-6.03396,-1.1739494,-14.025279,-14.987148,8.85959,-11.93336,-11.153095,-11.958446,-10.115292,-18.88227,-21.157343,-15.938859,0.3379537,-4.977451,-11.235673,-5.428454
3,19.582083,0.60593015,18.181046,1.0669525,1.2756773,-27.27872,25.980255,-15.081576,2.1482117,-14.767506,-11.9882555,-7.5735755,3.7912784,3.0662372,1.7552722,2.2583718,-29.344633,-14.562183,-15.506231,-6.6565876,-14.420995,-13.705359,-15.959303,-31.062275,5.638188,-18.76789,7.602821,-21.943352,-16.003448,-13.654614
4,18.046385,9.411007,12.592596,5.2405868,8.218996,-17.834417,-13.152632,-5.5308037,3.5747402,-6.0047,-12.630524,-10.8891735,2.9068134,-13.561698,-5.739463,-5.6354294,-12.999972,-7.2752743,-3.1834714,-10.9574795,-13.438546,-8.612234,-14.00101,-21.792406,-33.922268,-10.294989,-2.4556174,-1.6247619,-7.2895865,-5.8368945
5,12.133382,17.106052,9.192979,5.8717346,2.8074706,-21.25808,-15.239995,8.959168,4.9539204,-2.7928085,-20.008396,-19.803097,-1.1577225,-15.199661,-13.220776,-4.9521227,-3.0751314,5.3485346,-3.9499004,-13.749571,-10.237387,-13.189612,-7.9920173,-6.778124,-30.896885,-5.3039165,-1.2975912,-2.6146526,0.9075982,-9.403347
6,9.478148,6.591842,12.832748,12.818676,9.713324,-34.623814,-8.988271,-2.211243,10.519405,-1.0986445,-2.453465,18.90339,4.0445714,-17.231647,-20.634659,-0.9105683,-2.4366024,-4.3531485,-14.02707,-3.9146574,-10.943501,-17.40746,-13.131434,-17.252897,-27.731728,3.0287964,-9.479057,-16.07397,2.9832284,-0.89853007
7,13.185667,6.676464,9.675713,1.380259,10.424156,28.037088,11.0418625,5.5599008,-9.940652,-5.2348943,-36.048386,-9.233263,2.5249355,-9.1359625,-10.936616,-7.5706015,-25.788193,-4.58807,-23.37956,-16.00688,-20.216713,-2.4535718,-13.394561,-27.24233,-23.334394,-1.911988,5.5423346,-22.806213,-16.191328,-17.44657
8,5.587233,12.722944,8.3495245,2.8122764,5.234855,-1.6088005,-8.496531,-5.201473,0.40950078,-9.195637,-16.885788,-12.692637,-5.9031754,-9.564901,-2.692421,-5.118371,11.037305,-4.0164094,1.1267635,-12.575134,-11.325381,-12.028058,-1.8627703,-3.965896,-16.536207,-9.142991,-0.46342486,1.9970223,1.2381135,-0.5474718
9,18.742218,8.321175,15.763452,12.426442,4.0476317,-18.82998,-11.344909,0.45939192,7.7771263,-9.097763,-13.980174,-15.477312,1.2023294,-15.817191,-6.952113,12.84213,-10.503493,-3.0008879,-9.783809,-14.024344,-13.621388,-6.740776,-6.8367095,-14.954776,-28.904493,-8.774031,-8.108744,-7.4533215,-0.46865922,-4.9505453
10,-4.300056,12.4985075,6.6649437,0.08418203,19.360336,-1.3208398,13.929536,-4.4299746,-8.952953,-13.322414,-13.257402,-8.190103,5.8789735,0.607571,-15.9269905,-6.781423,-9.242766,-9.614351,-12.067229,-2.2909465,-21.335176,-15.794981,-10.074683,-23.163214,-3.2839081,-12.711686,4.5197525,-5.256318,-9.729111,-8.088946
11,10.5095625,16.468805,9.10483,6.95555,13.418118,-19.536604,-11.518958,-17.616627,6.5135174,15.791901,6.104293,12.708108,-4.4836597,-26.002571,-3.9853199,-2.2285388,-6.7427473,-7.899241,-19.575407,12.365949,-6.194059,-11.544583,-2.9117484,-12.554929,-24.680927,-13.971276,-11.674417,-6.9141626,0.035985235,-6.7039895
12,9.244936,2.688281,9.568904,11.690415,10.735652,-29.755222,-16.16954,-0.48110905,6.2912436,-8.770175,-5.117194,-9.236841,-4.123391,-2.806068,-16.160898,-4.7546954,1.5999024,-4.238032,1.3307128,-16.7947,-5.939546,-15.231236,-9.29839,-14.414365,-27.08356,-4.8358846,-0.4543066,-2.5832686,-5.2693567,11.832054
13,8.820418,6.8587317,16.392582,43.404816,16.923386,-16.808784,-14.43017,-1.2322807,14.181068,-18.766512,-21.166002,-10.11328,5.759663,-27.874176,-39.362976,0.30969834,-6.5073113,-18.831192,-0.23180921,-27.231663,-29.242483,-16.750706,-4.083719,-17.818182,-30.747648,-7.529772,-0.09692261,-11.928384,-6.3320966,4.0986056
14,18.181288,2.6217918,18.124115,18.697384,18.913158,-23.15997,-6.30506,-10.691176,9.7011175,-19.417542,-11.226329,-9.003724,-1.6201257,-17.590038,-18.264162,-1.0415154,-4.118306,-13.542313,-2.9985194,-17.718706,-22.72931,-19.678703,-5.934942,-27.966225,-24.32127,-15.894486,-0.7686482,-7.373109,-11.790128,3.3794425
15,-2.6570272,18.209019,2.722001,-1.764078,3.4590623,-11.380019,-14.203028,10.319454,-9.695262,0.537498,-12.473952,-12.719885,2.6212807,-2.1380496,-7.069934,-7.4815865,-1.3061546,5.7443047,-1.9538803,-6.5394893,-5.4884996,-7.528858,-6.124393,-2.996806,-26.478376,-2.7453058,-0.23288313,6.0330577,1.5649588,-6.8652596
16,11.197382,12.897581,9.037998,-3.1657596,10.837517,2.2633417,5.7214413,10.458046,-10.534513,-5.3604136,-18.682922,-17.243866,-1.2159215,-1.4643768,-0.71326727,-7.1612453,-23.130701,-6.8188453,-24.311443,-4.809372,-15.247079,7.0617013,-13.071177,-19.76068,-25.85337,-4.417469,5.159898,-23.236937,-5.4124703,-18.406425
17,11.378336,17.171902,8.281059,2.7579033,2.609209,7.7500367,-6.930134,-3.6549482,5.3050475,-0.35779566,-22.329634,-13.946563,-3.7268648,-16.636492,-2.0607555,-8.321849,-11.208904,-8.227109,-11.225394,-11.733368,-10.102008,-6.424996,-5.993587,-4.2368374,-23.05712,-7.1268287,2.294689,-8.929333,-5.254616,-14.314721
18,13.447457,9.733888,9.002219,7.302237,7.7745457,-19.216068,13.754488,-17.289515,3.5521946,5.878454,-1.1587119,7.441519,5.1227393,-21.129438,-0.35798824,-7.9061394,-17.891909,-15.829313,-15.097806,5.1305857,-7.95808,-7.976997,-11.306219,-13.5412035,-6.4773374,-13.198653,-5.819682,-13.884382,-11.2522135,-11.334516
19,-3.1142778,7.8944874,4.573466,-4.2516804,10.624163,-14.972465,6.2204585,-1.5569612,-6.729229,-3.5601149,5.926131,-6.691677,0.26188755,12.948546,-5.2522664,-3.8780134,-14.600855,-11.746173,-4.701675,18.479986,-5.06413,-4.681282,-10.35298,-17.029455,-8.551194,-11.994863,1.4359883,-4.1028457,-2.5253062,-8.258423
