,0,1,2
0,4.783563,-3.8772914,-8.068228
1,-5.6405587,-0.64100057,5.7099533
2,0.7860559,-9.417621,7.557581
3,4.898402,-12.768302,4.8272614
4,4.6966248,-3.7021468,-1.0938399
5,0.047091484,4.8730097,-3.893888
6,0.9257934,-3.7262216,3.9341376
7,2.7235186,-3.2013216,-0.9526337
8,-4.3211956,2.768526,-1.8474768
9,4.6910634,-5.7276597,1.3920091
10,-19.92148,3.053628,-3.7096
11,-3.113121,2.6117206,-5.128795
12,1.7777039,-3.776805,2.0318584
13,3.9718745,-0.11896527,-0.5110279
14,7.7020683,-14.6024275,7.0546074
15,-23.456469,8.203735,-8.921888
16,-1.3751228,0.2217778,-3.8521037
17,-0.4813826,5.0587463,-3.8433208
18,3.0196264,-0.69724697,-1.9562283
19,-14.681057,1.2552489,-2.8452013
20,-1.4615881,3.4602566,-0.7656408
21,5.326736,-2.6575642,1.4538513
22,-1.9829364,3.8411634,-2.5045145
23,-16.37384,4.617449,-6.2473335
24,-1.1395624,2.7851706,-7.4563146
25,1.2266917,-1.7793647,0.3274235
26,-1.9093612,3.540288,-7.081854
27,-1.8102149,-0.46605697,-5.5228186
28,-22.575027,8.907833,-3.2108417
29,-2.6125124,2.991816,0.59810245
30,1.6287838,-2.3404806,0.27168676
31,-3.7367527,-3.418339,-2.0361466
32,0.14265151,0.53287506,1.6868641
33,-0.6675934,1.2100242,-1.7910293
34,2.6453276,-4.5736365,3.581979
35,-1.6530064,2.7509086,-6.6403756
36,-0.016297072,-2.2881947,0.1943974
37,-24.943312,8.330065,-9.897122
38,-2.2331686,2.7566762,-5.4250298
39,-1.3353918,4.0140996,-3.6942909
40,-7.4769483,8.748142,-3.5132253
41,-2.0560286,2.3807964,-4.3301706
42,1.1526971,-0.39053303,-4.3312154
43,4.3317266,-3.6106882,-0.09145914
44,-0.85638887,1.8599567,-4.867434
45,-23.761154,5.331854,-5.9262557
46,4.464163,-2.7634358,0.3874359
47,6.112554,-10.498188,6.472433
48,2.8466258,-0.34615314,-2.6779177
49,-0.9836196,1.6829717,-1.9042382
50,-15.8386345,5.44,-1.325914
51,0.5377977,1.3404614,-1.5216776
52,-9.501903,1.3613235,2.450763
53,-1.8104801,1.2168355,-6.9955597
