,0,1,2,3,4,5,6,7,8,9
0,12.042899,4.7322435,0.63813025,1.0483379,0.45806947,-9.743334,-4.1383195,-3.7830002,2.0620742,-8.346753
1,0.20282628,4.43184,8.152174,4.251009,7.5500236,-21.395748,-4.6050944,1.1103886,10.643298,-2.348628
2,13.775968,4.190498,20.616364,10.306988,-1.3381255,-32.37112,-6.7598343,-13.2305355,-4.9441805,-11.859148
3,14.657275,-2.043954,13.033746,-3.056316,-5.1991377,-23.931746,20.75991,-7.5680966,-0.80866516,-9.596979
4,15.444433,7.096611,10.005788,2.8043265,5.6802816,-19.372396,-12.298639,-11.557044,1.0417792,-14.534175
5,11.912034,16.927809,8.7833185,5.5763226,2.5843148,-25.359255,-19.068079,8.635878,4.739236,-6.4429393
6,5.387038,2.0709047,8.437514,8.514206,4.408372,-20.965883,-8.841379,-3.276051,6.5518494,-6.235954
7,6.0513997,-0.20492138,2.4619834,-5.0124197,3.1513054,20.985056,3.874184,-1.3323058,-17.183262,-8.679056
8,2.9857373,9.904254,5.3730493,-1.1546286,2.1604192,0.062900364,-10.311647,-3.5346859,-2.3107712,-4.852269
9,15.00557,5.034703,12.025269,8.568899,0.4578976,-27.1544,-13.727788,-8.20256,3.9823635,-11.982601
10,-6.4941998,9.795847,3.593927,-2.568987,16.585644,-3.782456,10.966394,-2.5265722,-11.991533,-11.162015
11,5.019522,10.806866,3.8557487,1.9268757,8.283774,-22.800568,-16.826143,-17.246264,1.1487439,9.939389
12,9.091283,2.2692099,9.440594,11.710239,10.080034,-22.221062,-16.458193,-5.281348,6.216225,-13.001233
13,4.3086185,0.7443198,11.827213,40.504517,12.5054245,-42.51246,-31.016113,-5.406329,6.6172013,-7.4487853
14,12.045021,-4.463212,11.844361,12.442818,12.446419,-29.062542,-15.792285,-11.292416,3.3191075,-12.593105
15,-9.74858,23.707134,6.7206216,2.236981,7.116901,-10.652873,-14.119221,15.800529,-12.106402,-0.88646436
16,6.0952754,7.920083,3.8228564,-8.140833,5.5752773,-0.39803815,0.5063665,5.5210943,-15.596564,-7.0202293
17,6.9074693,12.679616,3.6064107,-2.0322752,-1.0123494,3.526065,-9.563801,-4.6291404,0.5826507,-0.9034988
18,8.545365,4.9322915,4.07576,2.3843837,2.5910509,-21.22377,8.777211,-14.164074,-1.5888042,0.9144201
19,-3.9234774,7.515955,3.683032,0.23139066,10.075627,-6.116025,3.3291287,-0.73924905,-3.852551,-10.73325
20,7.650291,13.166033,8.618797,5.2737274,7.210973,-21.948328,-19.936193,-4.549461,6.1255574,-3.4005187
21,11.526967,3.4782548,7.7496514,5.7559013,4.0113297,-19.854555,-5.532373,-0.84565574,2.2256634,-5.468209
22,5.5618825,11.44461,5.0926404,0.09472205,-4.839204,2.9344554,-10.795136,1.4877405,-1.1876147,-3.2730448
23,-2.531128,15.61695,3.6983943,0.27886805,7.632518,-7.049225,-9.297702,3.4856253,-6.3527455,-4.297491
24,6.7349515,11.169933,1.6743213,-2.5648055,-1.681622,-14.279936,21.387882,-6.268537,-8.939015,-2.0662603
25,9.9327,0.07656483,12.450246,27.505766,0.6952977,-32.289074,-11.66941,-16.89666,6.2358756,-11.77046
26,5.535649,11.134555,0.55170363,-0.28921747,8.674071,-19.082586,-20.678406,-15.498037,7.229798,10.277158
27,9.063324,10.630006,5.701669,2.7598329,-3.9670813,-9.347651,-6.649852,-3.6917377,1.8021178,-5.3355165
